Smooth: False
name;tag;layer;x;y;z;rotX;rotY;rotZ;waypointType;speed;acceleration;jerk;causeToYield;lookAtPlayerWhileYielding;lookAtPlayerAfterYielding;yieldTime;brakingAcceleration;lookAtPedFromSeconds;lookAtPedToSeconds;collider_enabled;isTrigger;centerX;centerY;centerZ;sizeX;sizeY;sizeZ
WP01;WP;5;11.3;0;-87.2;0;0;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP02;WP;5;12.2;0;75.1;0;0;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
WP03;WP;5;9.5;0;96.5;0;338;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP04;WP;5;3.5;0;110.1;0;320;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP05;WP;5;-13.4;0;127;0;297;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP06;WP;5;-28.6;0;133.7;0;270;0;1;30;1;2;False;True;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP07;WP;5;-89.9;0;135;0;270;0;1;1;-5;-10;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP09;WP;5;-96.9;0;135;0;270;0;1;10;1;2;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP10;WP;5;-107.59;0;135.09;0;225;0;1;30;1;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP10.5;WP;5;-112.8;0;125.1;0;180;0;1;30;1;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP11;WP;5;-113.3;0;13.82;0;180;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP12;WP;5;-115.29;0;11.14;0;270;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP13;WP;5;-222.93;0;10.17;0;270;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP14;WP;5;-228.7;0;7.5;0;226;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP15;WP;5;-232.2;0;0.4000015;0;180;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP16;WP;5;-232.5;0;-37.6;0;175;0;1;30;1;2;False;True;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP17;WP;5;-231.3;0;-49.7;0;165;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP18;WP;5;-226.6;0;-61.5;0;150;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP19;WP;5;-216.7;0;-75.1;0;130;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
WP20;WP;5;-199.8;0;-86.3;0;110;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
WP21;WP;5;-187.8;0;-89.49999;0;99.99999;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
WP22;WP;5;-180.7;0;-90.6;0;90;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
WP23;WP;5;1.7;0;-90.9;0;90;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
WP24;WP;5;7.5;0;-88.9;0;45;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
